Date,Stock,Close,KNO,W,H,E,N,RD,%
10/28/94,ADM,29,311,1,1,1,1,D,100
1/31/95,ABT,35.38,311,1,3,1,1,D,83
2/1/95,ABT,35.25,313,1,3,1,1,D,83
6/8/95,AIV,19.5,313,1,3,1,1,D,83
6/14/95,AIV,19.88,313,1,2,1,1,D,92
6/21/95,AAPL,49.38,311,1,2,1,1,D,92
6/22/95,AAPL,49.13,313,1,2,1,1,D,92
9/6/95,ADP,68.38,313,1,3,1,1,D,83
9/8/95,ADP,69.25,311,1,2,1,1,D,92
1/8/96,ADBE,41.88,415,1,1,3,4,R,83
1/9/96,ADBE,38,417,1,1,3,4,R,83
1/10/96,ADBE,38.5,417,1,1,3,4,R,83
2/8/96,AGN,37.75,313,1,1,1,1,D,100
2/9/96,AGN,38.5,313,1,1,1,1,D,100
8/20/96,ACT,26,417,1,1,3,4,R,83
10/18/96,AIV,22.5,311,1,2,1,1,D,92
10/21/96,AIV,22.75,313,1,2,1,1,D,92
10/28/96,AGN,31.25,415,1,1,2,4,R,92
10/29/96,AGN,31.38,417,1,1,2,4,R,92
10/29/96,AIV,23.63,313,1,1,2,1,D,92
11/4/96,AFL,41.5,311,1,1,3,1,D,83
11/19/96,AIV,24.5,313,1,1,3,1,D,83
11/20/96,AIV,25,313,1,1,3,1,D,83
12/31/96,AIV,28.25,311,1,1,2,1,D,92
2/3/97,ABC,49.75,313,1,3,1,1,D,83
2/4/97,ABC,51.25,313,1,2,2,1,D,83
4/3/97,AGN,27.5,417,1,1,3,4,R,83
5/5/97,ADBE,46.5,311,1,2,1,1,D,92
7/1/97,AAPL,13.19,417,1,2,1,4,R,92
7/2/97,AAPL,13.06,417,1,2,1,4,R,92
7/15/97,ADI,32.81,311,1,2,1,1,D,92
10/6/97,ACT,65.13,311,1,2,2,1,D,83
11/25/97,AEP,49.75,313,1,2,1,1,D,92
11/26/97,AEP,49.69,313,1,3,1,1,D,83
12/18/97,AEP,51.5,313,1,2,2,1,D,83
4/17/98,AIG,139.44,311,1,2,1,1,D,92
6/5/98,AGN,45.69,311,1,2,2,1,D,83
7/31/98,ADBE,32.31,417,1,2,2,4,R,83
8/3/98,ADBE,31,417,1,1,1,4,R,100
8/4/98,ADBE,30.25,417,1,1,1,4,R,100
10/6/98,AEP,52,311,1,1,1,1,D,100
10/8/98,AEP,52.94,313,1,1,1,1,D,100
1/29/99,AGN,76.88,311,1,2,1,1,D,92
2/4/99,AIV,41.56,311,1,2,1,1,D,92
9/1/99,AAPL,68.63,313,1,2,2,1,D,83
9/2/99,AAPL,70.56,313,1,2,1,1,D,92
9/3/99,AAPL,73.5,313,1,2,1,1,D,92
9/7/99,AAPL,76.38,313,1,1,1,1,D,100
12/6/99,AA,72.63,313,1,3,1,1,D,83
12/17/99,AIV,35.13,417,1,3,1,4,R,83
1/14/00,AES,83.25,313,1,1,1,1,D,100
3/10/00,ADSK,54.88,313,1,1,2,1,D,92
3/13/00,ADSK,52.94,313,1,1,3,1,D,83
5/26/00,AA,57.31,415,1,3,1,4,R,83
6/28/00,AGN,77.81,311,1,3,1,1,D,83
7/26/00,AIV,47.97,311,1,1,2,1,D,92
7/27/00,ACE,36.69,311,1,2,1,1,D,92
7/27/00,AIV,48.63,313,1,1,2,1,D,92
9/1/00,AES,67,311,1,2,1,1,D,92
9/8/00,AEP,38.91,311,1,3,1,1,D,83
9/11/00,AEP,39.33,313,1,3,1,1,D,83
4/16/01,AET,25.44,415,1,1,3,4,R,83
4/17/01,AET,25.12,417,1,1,2,4,R,92
9/19/01,AIG,69.5,415,1,2,2,4,R,83
9/21/01,AIG,67.05,417,1,1,1,4,R,100
6/13/02,ABT,35.95,415,1,1,3,4,R,83
6/20/02,AKAM,1.09,415,1,2,1,4,R,92
6/21/02,AKAM,1.05,417,1,2,1,4,R,92
6/24/02,AKAM,0.96,417,1,2,1,4,R,92
6/25/02,AKAM,0.94,417,1,2,1,4,R,92
7/10/02,AEP,35.27,415,1,1,3,4,R,83
7/11/02,ABT,31.65,415,1,1,2,4,R,92
