STOCK,DAYS HELD,CASH MADE/LOST,% RETURN,ANNUAL RETURN
AA,-688503,-28809.449460799835,-14.4047247304%,0.00763645841281%
AAPL,2655,513463.4486505334,513.463448651%,70.5891370085%
ABT,1680,51604.541150052624,51.6045411501%,11.2117009046%
ACT,5367,114690.99378881986,229.381987578%,15.5998556858%
ADBE,-686903,355205.8121237629,182.639894558%,-0.0970494546008%
ADM,-691475,148217.5496971795,148.217549697%,-0.0782376884768%
ADSK,782,8060.200668896323,16.1204013378%,7.5242282459%
AEP,1098,30013.081799849933,30.0130817998%,9.97702628137%
AES,-691589,53819.96974281392,107.639939486%,-0.0568091422973%
AET,-688827,701941.0351115308,701.941035112%,-0.371948947727%
AIG,2899,-58558.12531183107,-29.2790626559%,-3.68639457379%
AIV,1727,20874.978650725876,41.7499573015%,8.82381842214%
AKAM,-689257,7040366.972477064,7040.36697248%,-3.72826673498%
ALTR,-688984,236751.21100696496,118.375605503%,-0.0627113198692%
AMGN,4005,43073.803659970465,86.1476073199%,7.85115522391%
AN,-687905,761454.0240955388,380.727012048%,-0.202012428166%
APC,-692895,25542.717086834746,51.0854341737%,-0.0269105470142%
APD,2398,80881.511161992,80.881511162%,12.31098898%
ARG,1986,194471.94719471945,388.943894389%,71.4826392005%
ATI,-691485,-12120.545534535857,-24.2410910691%,0.0127956473969%
AVY,-691603,148923.96209614584,148.923962096%,-0.0785960242583%
AZO,1021,121305.26315789472,60.6526315789%,21.682870251%
BA,5461,742750.3875332653,419.261147136%,28.0223985908%
BAC,-688677,170837.67979270604,85.4188398964%,-0.0452721327446%
BAX,1503,192111.95928753185,192.111959288%,46.6539355555%
BBY,-689289,358514.5430198001,358.51454302%,-0.189844619894%
BDX,916,35872.96620775969,35.8729662078%,14.2943588055%
BEN,-688984,113957.52005658418,113.957520057%,-0.0603707703236%
BK,-689363,139415.63330380875,69.7078166519%,-0.0369084982483%
BLK,457,59248.95688456186,59.2489568846%,47.3213769428%
BMY,-689901,92354.16666666669,184.708333333%,-0.0977220523911%
BRCM,-690752,53195.65217391304,106.391304348%,-0.0562181884192%
BSX,3087,-64174.667577230546,-64.1746675772%,-7.58786966819%
BXP,-691120,21670.976082740803,43.3419521655%,-0.0228901095908%
C,-689290,208888.88888888893,104.444444444%,-0.0553065070177%
CA,-689289,497264.01508906996,248.632007545%,-0.131658394017%
CAH,-688285,236000.93882939703,118.000469415%,-0.0625760714477%
CAM,2213,97900.0,195.8%,32.2941708089%
CAT,-689353,54641.4912474267,109.282982495%,-0.0578633713215%
CB,4406,45709.587303425214,22.8547936517%,1.893327209%
CBS,-691462,479392.04337230255,239.696021686%,-0.12652762974%
CCE,890,32408.500590318756,32.4085005903%,13.2911266466%
CCI,1252,74772.93369663942,149.545867393%,43.5976370595%
CERN,3432,202843.3734939759,202.843373494%,21.5727946752%
CHK,4968,25252.454623689584,22.7596160626%,1.67215375661%
CI,-688274,55480.96642630841,55.4809664263%,-0.0294222253719%
CINF,-691117,159216.8873905255,79.6084436953%,-0.0420436510009%
CLF,-687864,-125462.42369880513,-57.386313162%,0.0304507930407%
CLX,4139,179146.23102193023,179.146231022%,15.7981092832%
CMA,-687868,9566.120329838144,9.56612032984%,-0.00507602319106%
CMCSA,-691228,206177.40232312563,206.177402323%,-0.108871098752%
CMS,3686,-165.56291390728438,-0.331125827815%,-0.0327891826241%
CNP,-687367,376338.9647436324,188.169482372%,-0.0999202188434%
