Date,Stock,Close,KNO,%
1/8/04,A,32.28,311,83
1/9/04,A,32.05,313,83
8/16/05,A,30.48,311,100
8/17/05,A,31.11,313,100
2/4/74,AA,2.0,3.0
2/23/81,AA,1.0,2.0
2/27/95,AA,1.0,2.0
2/26/99,AA,1.0,2.0
12/6/99,AA,72.63,313,83
5/26/00,AA,57.31,415,83
6/12/00,AA,1.0,2.0
5/13/05,AA,26.7,415,83
5/16/05,AA,26.6,417,92
9/26/05,AA,24.2,417,83
10/6/05,AA,22.91,417,83
10/3/08,AA,19.24,415,92
10/7/08,AA,16.71,417,92
10/8/08,AA,14.71,417,92
10/9/08,AA,12.46,417,92
10/10/08,AA,11.25,417,92
10/27/08,AA,9.04,417,83
8/8/11,AA,11.33,415,100
8/9/11,AA,12.24,417,83
9/22/11,AA,10.11,415,83
9/30/11,AA,9.57,417,83
7/16/14,AA,16.6,311,92
6/16/87,AAPL,1.0,2.0
6/21/95,AAPL,49.38,311,92
6/22/95,AAPL,49.13,313,92
7/1/97,AAPL,13.19,417,92
7/2/97,AAPL,13.06,417,92
9/1/99,AAPL,68.63,313,83
9/2/99,AAPL,70.56,313,92
9/3/99,AAPL,73.5,313,92
9/7/99,AAPL,76.38,313,100
6/21/00,AAPL,1.0,2.0
7/19/02,AAPL,14.96,415,83
10/6/04,AAPL,40.64,311,83
10/18/04,AAPL,47.75,311,92
10/19/04,AAPL,47.42,313,92
10/28/04,AAPL,52.19,311,83
10/29/04,AAPL,52.4,313,92
11/3/04,AAPL,55.31,313,100
11/29/04,AAPL,68.44,311,92
11/30/04,AAPL,67.05,313,83
2/16/05,AAPL,90.13,311,83
2/28/05,AAPL,1.0,2.0
2/9/12,AAPL,493.17,313,83
2/10/12,AAPL,493.42,313,100
2/14/12,AAPL,509.46,313,100
2/29/12,AAPL,542.44,311,83
3/14/12,AAPL,589.58,313,100
3/15/12,AAPL,585.56,313,92
6/9/14,AAPL,1.0,7.0
2/3/97,ABC,49.75,313,83
2/4/97,ABC,51.25,313,83
12/29/05,ABC,1.0,2.0
