date,next_date,next_close,symbol,close,kno,w,h,e,n,rd,pct,cr,bsval1,bsval2,bsval3,bsval4
5/20/15,5/21/15,65.65,ABBV,65.89,851,0,5,0,2,D,20,10, , , ,L
1/9/15,1/12/15,90.93,ABC,93,691,0,6,4,5,D,26,11, ,E, , 
2/12/15,2/13/15,100.34,ABC,99.83,381,1,3,1,1,D,83,27,S,E,L,L
3/12/15,3/13/15,106.15,ABC,105.38,692,4,2,0,1,D,46,20,S,E, ,L
3/16/15,3/17/15,110.36,ABC,110.13,381,1,1,3,1,D,83,27,S,E,L,L
2/19/15,2/20/15,47.48,ABT,46.61,692,0,4,4,1,D,32,19, ,E, ,L
4/22/15,4/23/15,48.46,ABT,48.35,692,4,5,2,1,D,48,14,S,E, ,L
1/21/15,1/22/15,278.01,ACT,275.77,692,0,5,0,1,D,20,19,S,E, , 
2/13/15,2/17/15,286.9,ACT,285.37,381,1,4,0,1,D,56,24,S,E,L,L
3/18/15,3/19/15,314.41,ACT,313.95,313,1,2,2,1,D,83,28,S,E,L,L
3/19/15,3/20/15,317.06,ACT,314.41,313,1,2,3,1,D,75,27,S,E,L,L
3/20/15,3/23/15,314.97,ACT,317.06,313,2,2,3,1,D,67,26, ,E,L,L
3/23/15,3/24/15,309.13,ACT,314.97,313,0,3,4,5,D,36,20, , ,L,L
3/24/15,3/25/15,300.63,ACT,309.13,313,0,3,0,5,D,33,23,B, ,L,L
3/26/15,3/27/15,303.56,ACT,301.32,313,0,5,2,5,D,42,20,B,U, , 
3/27/15,3/30/15,304.76,ACT,303.56,313,0,5,2,5,D,42,20, ,U, , 
3/30/15,3/31/15,297.62,ACT,304.76,313,0,5,2,5,D,42,20, , , , 
3/31/15,4/1/15,296.43,ACT,297.62,313,0,7,2,5,D,39,18, , , , 
4/1/15,4/2/15,298.37,ACT,296.43,313,0,7,5,5,D,21,19,B, ,Y, 
4/2/15,4/6/15,297.84,ACT,298.37,313,0,7,5,1,D,21,22, , ,Y, 
4/6/15,4/7/15,295.56,ACT,297.84,313,0,7,5,1,D,21,22, , , , 
4/7/15,4/8/15,294.78,ACT,295.56,313,0,8,5,5,D,20,19, , , , 
4/8/15,4/9/15,292.27,ACT,294.78,313,0,8,5,5,D,20,19, , , , 
6/22/15,6/23/15,83.55,ADBE,82.28,692,1,4,3,1,D,63,20,S,E,L,L
3/20/15,3/23/15,60.4,ADI,61.07,692,4,3,2,1,D,55,19,S,E, ,L
4/15/15,4/16/15,299.93,ADS,302.2,691,0,5,0,2,D,20,11, , , ,L
2/20/15,2/23/15,61.95,ADSK,62.37,692,4,3,2,1,D,55,19,S,E,L, 
4/22/15,4/23/15,62.75,ADSK,62.13,851,0,7,5,5,D,21,11, , , , 
2/5/15,2/6/15,37.32,ADT,37.47,692,4,3,4,1,D,43,14,S,E,L, 
1/15/15,1/16/15,63.57,AEP,63.16,692,4,3,0,1,D,36,20,S,E, ,L
1/16/15,1/20/15,63.53,AEP,63.57,381,2,3,0,1,D,50,24, ,E,L,L
2/5/15,2/6/15,94.54,AET,96.59,311,4,4,2,1,D,52,23,S,E, ,L
2/6/15,2/9/15,93.74,AET,94.54,313,0,5,3,5,D,32,18, , , , 
2/9/15,2/10/15,95.75,AET,93.74,313,0,6,3,5,D,30,18,B, , , 
2/10/15,2/11/15,96.46,AET,95.75,313,0,5,3,1,D,32,21, , , , 
2/11/15,2/12/15,97.08,AET,96.46,313,0,4,4,1,D,32,21,S, , , 
2/12/15,2/13/15,96.12,AET,97.08,313,0,4,0,1,D,27,25, , ,L,L
2/13/15,2/17/15,96.62,AET,96.12,313,0,5,0,1,D,20,25, , , ,L
2/17/15,2/18/15,96.89,AET,96.62,313,0,5,0,1,D,20,25, , , ,L
2/18/15,2/19/15,96.64,AET,96.89,313,0,4,3,1,D,36,23, , , ,L
2/19/15,2/20/15,97.92,AET,96.64,313,0,5,3,1,D,32,21, , , ,L
2/20/15,2/23/15,100.68,AET,97.92,313,0,4,3,1,D,36,23, , , , 
2/23/15,2/24/15,100.17,AET,100.68,313,1,3,2,1,D,75,27,S,E,L,L
2/24/15,2/25/15,99.52,AET,100.17,313,4,3,2,1,D,55,24,S,E, ,L
2/25/15,2/26/15,99.31,AET,99.52,313,0,3,4,1,D,36,23, ,E, ,L
2/26/15,2/27/15,99.55,AET,99.31,313,0,4,4,1,D,32,21, , , ,L
2/27/15,3/2/15,100.5,AET,99.55,313,0,4,3,1,D,36,23, , , ,L
3/23/15,3/24/15,108.74,AET,109.26,311,2,2,1,1,D,83,28, ,E,L,L
3/24/15,3/25/15,107.29,AET,108.74,313,0,2,1,1,D,70,27, , ,L,L
3/25/15,3/26/15,105.91,AET,107.29,313,0,3,2,1,D,50,25, , , ,L
3/26/15,3/27/15,107.4,AET,105.91,313,0,4,4,1,D,32,21,B, , ,L
3/27/15,3/30/15,108.57,AET,107.4,313,0,3,0,1,D,33,26, , , ,L
3/30/15,3/31/15,106.53,AET,108.57,313,0,3,5,1,D,32,21,S, , ,L
3/31/15,4/1/15,106.87,AET,106.53,313,0,4,4,1,D,32,21, , , ,L
4/1/15,4/2/15,107.15,AET,106.87,313,0,4,5,1,D,28,21, , , ,L
4/2/15,4/6/15,107.83,AET,107.15,313,0,4,0,1,D,27,25, , , ,L
4/6/15,4/7/15,106.79,AET,107.83,313,0,4,0,1,D,27,25, , , , 
4/7/15,4/8/15,107.46,AET,106.79,313,0,4,0,1,D,27,25, , , , 
4/8/15,4/9/15,107.72,AET,107.46,313,0,4,0,1,D,27,25, , , ,L
4/9/15,4/10/15,107.91,AET,107.72,313,0,4,0,1,D,27,25, , , ,L
4/10/15,4/13/15,107.69,AET,107.91,313,0,4,0,1,D,27,25, , , ,L
4/13/15,4/14/15,107.88,AET,107.69,313,0,5,0,1,D,20,25, , , , 
4/14/15,4/15/15,106.08,AET,107.88,313,0,5,0,1,D,20,25, , , ,L
4/15/15,4/16/15,109.43,AET,106.08,313,0,6,4,1,D,26,21, , , , 
6/16/15,6/17/15,123.86,AET,124.97,391,1,2,1,1,D,92,27,S,E,L,L
2/17/15,2/18/15,229.5,AGN,230.15,692,0,4,0,1,D,27,20, , , ,L
6/23/15,6/24/15,308.66,AGN,312.32,391,1,1,3,2,D,83,18,S,E,L,L
6/3/15,6/4/15,60.61,AIG,61.11,692,4,3,2,1,D,55,19,S,E, ,L
6/15/15,6/16/15,61.98,AIG,62.57,692,2,3,3,1,D,58,20, ,E,L,L
1/6/15,1/7/15,38.92,AIV,38.53,692,0,4,3,1,D,36,20,S, , , 
1/12/15,1/13/15,38.86,AIV,40.31,381,1,2,3,1,D,75,26,S,E,L,L
2/12/15,2/13/15,68.77,AKAM,67.59,692,4,3,1,1,D,63,20,S,E,L, 
2/13/15,2/17/15,70.36,AKAM,68.77,381,1,2,2,1,D,83,27,S,E,L,L
4/21/15,4/22/15,76.02,AKAM,75.3,692,4,5,1,1,D,57,18,S,E, ,L
6/1/15,6/2/15,51.7,ALTR,51.68,391,1,1,1,1,D,100,28,S,E,L,L
6/2/15,6/3/15,51.73,ALTR,51.7,381,1,2,1,1,D,92,28,S,E,L,L
2/2/15,2/3/15,363.55,AMZN,364.47,391,1,1,3,1,D,83,26,S,E,L,L
1/8/15,1/9/15,129.8,ANTM,131.55,692,0,5,3,1,D,32,19,S,E, , 
1/20/15,1/21/15,139.68,ANTM,137.13,381,1,3,1,1,D,83,27,S,E,L,L
3/13/15,3/16/15,153.25,ANTM,150.01,692,0,3,3,1,D,40,20,S, , ,L
3/16/15,3/17/15,153.3,ANTM,153.25,381,1,2,3,1,D,75,26,S,E,L,L
5/29/15,6/1/15,168.07,ANTM,167.85,692,0,3,4,1,D,36,20,S, , ,L
2/2/15,2/3/15,85.6,APC,82.77,851,0,7,0,0,D,15,10,S, , , 
2/20/15,2/23/15,156.1,APD,157.66,391,1,3,0,1,D,60,24,S,E,L,L
1/9/15,1/12/15,174.78,AVB,173.28,391,0,3,2,1,D,50,23, ,E, ,L
1/2/15,1/5/15,51.15,AVY,51.79,313,0,4,5,1,D,28,21,B, , ,L
5/4/15,5/5/15,56.87,AVY,56.64,391,1,3,1,1,D,83,26,S,E,L,L
2/19/15,2/20/15,623.31,AZO,618.34,851,0,6,0,2,D,17,8, , , , 
2/25/15,2/26/15,644.97,AZO,637.12,313,0,4,3,2,D,36,15, ,E, ,L
2/26/15,2/27/15,642.68,AZO,644.97,313,2,3,2,2,D,67,18, ,E,L,L
3/2/15,3/3/15,651.9,AZO,649.53,851,0,3,5,2,D,32,10, , ,L,L
3/17/15,3/18/15,667.42,AZO,662.18,313,0,3,3,2,D,40,16, ,E, ,L
3/19/15,3/20/15,662.43,AZO,667.39,313,0,2,5,2,D,42,15, , , ,L
3/20/15,3/23/15,671.27,AZO,662.43,313,0,3,0,2,D,33,18, , , ,L
3/23/15,3/24/15,667.45,AZO,671.27,313,0,2,0,2,D,50,18, , ,L,L
3/24/15,3/25/15,660.72,AZO,667.45,313,0,3,0,2,D,33,18, , , ,L
3/25/15,3/26/15,662.04,AZO,660.72,313,0,3,0,2,D,33,18,B, , ,L
3/26/15,3/27/15,681.34,AZO,662.04,313,0,3,0,2,D,33,18, , , ,L
1/28/15,1/29/15,147.78,BA,139.64,331,1,3,2,1,D,75,27,S,E,L,L
2/19/15,2/20/15,158.31,BA,153.75,311,4,1,3,1,D,63,25,S,E, ,L
2/20/15,2/23/15,154.74,BA,158.31,313,1,1,1,1,D,100,30,S,E,L,L
2/23/15,2/24/15,154.38,BA,154.74,313,2,1,3,1,D,75,27, ,E,L,L
2/24/15,2/25/15,153.01,BA,154.38,313,0,1,3,1,D,60,26,B, , ,L
2/25/15,2/26/15,151.73,BA,153.01,313,0,1,3,1,D,60,26, , , ,L
2/26/15,2/27/15,150.85,BA,151.73,313,0,2,0,1,D,50,26,B,U, ,L
2/27/15,3/2/15,153.8,BA,150.85,313,0,2,3,5,D,50,22, ,U, ,L
3/2/15,3/3/15,155.57,BA,153.8,313,0,2,0,1,D,50,26, , , ,L
3/3/15,3/4/15,154.35,BA,155.57,313,0,1,4,1,D,56,25,S, , ,L
3/4/15,3/5/15,154.47,BA,154.35,313,0,2,4,1,D,46,24, , , ,L
3/5/15,3/6/15,153.12,BA,154.47,313,0,2,3,1,D,50,25, , , ,L
3/6/15,3/9/15,154.75,BA,153.12,313,0,3,3,5,D,40,21, , , ,L
3/9/15,3/10/15,152.42,BA,154.75,313,0,3,3,1,D,40,24, , , ,L
3/10/15,3/11/15,151.17,BA,152.42,313,0,3,0,5,D,33,23, , , ,L
3/11/15,3/12/15,152.04,BA,151.17,313,0,4,0,5,D,27,22,B, , ,L
3/12/15,3/13/15,151.57,BA,152.04,313,0,4,0,5,D,27,22, , , , 
3/13/15,3/16/15,153.67,BA,151.57,313,0,4,0,5,D,27,22, , , , 
3/16/15,3/17/15,154.51,BA,153.67,313,0,4,0,5,D,27,22, , , , 
3/17/15,3/18/15,155.73,BA,154.51,313,0,4,0,5,D,27,22,S, , , 
3/18/15,3/19/15,154.11,BA,155.73,313,0,3,0,1,D,33,26, , , , 
3/19/15,3/20/15,154.5,BA,154.11,313,0,4,0,5,D,27,22, , , , 
3/20/15,3/23/15,152.81,BA,154.5,313,0,4,0,1,D,27,25, , , , 
3/23/15,3/24/15,151.65,BA,152.81,313,0,5,0,5,D,20,22, , , , 
3/24/15,3/25/15,148.23,BA,151.65,313,0,6,0,5,D,17,21,B, , , 
3/25/15,3/26/15,148.17,BA,148.23,313,0,9,5,9,D,19,18,B,U, , 
4/9/15,4/10/15,70.57,BAX,70.15,851,4,6,0,7,D,26,11,S,E,L, 
1/14/15,1/15/15,34.3,BBY,39.91,692,0,5,1,1,D,52,20, , , , 
1/2/15,1/5/15,164.99,BCR,167.48,313,0,8,0,5,D,13,20, , , , 
1/7/15,1/8/15,174.87,BCR,170.44,313,0,6,0,1,D,17,24,S,E, , 
1/8/15,1/9/15,173.71,BCR,174.87,313,0,4,3,1,D,36,23,S,E, , 
1/9/15,1/12/15,174.07,BCR,173.71,313,0,5,4,5,D,28,18,S,E, , 
1/12/15,1/13/15,173.5,BCR,174.07,313,0,5,3,5,D,32,18, ,E, , 
1/13/15,1/14/15,174,BCR,173.5,313,0,5,3,5,D,32,18, , , , 
1/15/15,1/16/15,174.06,BCR,172.84,313,0,6,0,5,D,17,21, , , , 
1/20/15,1/21/15,176.33,BCR,175.77,692,0,5,4,5,D,28,15,S, ,L, 
3/20/15,3/23/15,53.7,BEN,53.35,851,0,9,4,8,D,23,9, , , , 
2/3/15,2/4/15,391.12,BIIB,393.89,692,2,1,4,1,D,72,21, ,E,L,L
2/6/15,2/9/15,396.88,BIIB,402,381,3,2,0,1,D,50,24,S, ,L,L
3/9/15,3/10/15,39.19,BK,39.79,851,0,6,4,2,D,26,5, , , , 
3/17/15,3/18/15,40.83,BK,41.14,321,2,3,3,1,D,58,24, ,E,L,L
4/15/15,4/16/15,41.06,BK,41.13,851,0,6,0,2,D,17,8, , , , 
2/17/15,2/18/15,377.86,BLK,380.33,692,1,3,3,1,D,67,21,S,E,L,L
2/13/15,2/17/15,74.39,BLL,74.93,311,1,1,2,1,D,92,29,S,E,L,L
2/17/15,2/18/15,77.16,BLL,74.39,313,2,1,3,1,D,75,27, ,E,L,L
2/18/15,2/19/15,73.85,BLL,77.16,313,1,1,3,1,D,83,28,S,E,L,L
2/19/15,2/20/15,73.19,BLL,73.85,313,0,2,0,1,D,50,26, , , ,L
2/20/15,2/23/15,73.75,BLL,73.19,313,0,2,0,5,D,50,23,B,U, ,L
2/23/15,2/24/15,72.56,BLL,73.75,313,0,2,0,1,D,50,26, , ,L,L
2/24/15,2/25/15,72.16,BLL,72.56,313,0,3,0,5,D,33,23, ,U, ,L
2/25/15,2/26/15,72.42,BLL,72.16,313,0,3,5,5,D,32,18,B,U, ,L
2/26/15,2/27/15,71.71,BLL,72.42,313,0,3,0,5,D,33,23, , , ,L
2/27/15,3/2/15,72.66,BLL,71.71,313,0,4,0,9,D,27,21, ,U,Y,L
3/3/15,3/4/15,71.3,BLL,72.3,313,0,3,0,8,D,33,19, , ,Y,L
3/16/15,3/17/15,67.62,BMY,68.03,391,1,2,0,1,D,70,25,S,E,L,L
5/7/15,5/8/15,46.3,BRCM,46.42,692,4,5,5,1,D,33,15,S,E, ,L
5/18/15,5/19/15,47.28,BRCM,47.73,381,2,3,0,1,D,50,24, ,E,L,L
1/9/15,1/12/15,14.58,BSX,14.65,391,1,1,1,1,D,100,28,S,E,L,L
3/18/15,3/19/15,17.81,BSX,17.76,311,4,1,2,1,D,72,26,S,E, ,L
3/19/15,3/20/15,17.84,BSX,17.81,313,1,1,2,1,D,92,29,S,E,L,L
3/20/15,3/23/15,17.98,BSX,17.84,313,2,1,1,1,D,92,29, ,E,L,L
3/23/15,3/24/15,17.83,BSX,17.98,313,2,1,1,1,D,92,29, ,E,L,L
3/24/15,3/25/15,17.52,BSX,17.83,313,0,2,3,1,D,50,25, , ,L,L
3/25/15,3/26/15,17.44,BSX,17.52,313,0,3,3,1,D,40,24,B, , ,L
3/26/15,3/27/15,17.83,BSX,17.44,313,0,3,3,1,D,40,24,B, , ,L
3/27/15,3/30/15,18.07,BSX,17.83,313,0,3,0,1,D,33,26, , , ,L
3/30/15,3/31/15,17.75,BSX,18.07,313,0,2,0,1,D,50,26,S, , ,L
3/31/15,4/1/15,17.65,BSX,17.75,313,0,3,0,1,D,33,26, , , , 
4/1/15,4/2/15,17.72,BSX,17.65,313,0,3,0,1,D,33,26,B, , , 
4/2/15,4/6/15,17.68,BSX,17.72,313,0,3,0,1,D,33,26, , , , 
4/6/15,4/7/15,17.69,BSX,17.68,313,0,4,0,1,D,27,25, , , , 
4/7/15,4/8/15,17.89,BSX,17.69,313,0,4,0,1,D,27,25, , , , 
4/8/15,4/9/15,18.1,BSX,17.89,313,0,3,0,1,D,33,26, , , , 
4/9/15,4/10/15,18.1,BSX,18.1,313,0,3,0,1,D,33,26,S, , , 
4/10/15,4/13/15,17.8,BSX,18.1,313,0,3,0,1,D,33,26, , , , 
4/13/15,4/14/15,17.9,BSX,17.8,313,0,4,5,5,D,28,18, , , , 
2/3/15,2/4/15,57.44,BWA,57.03,851,4,6,0,0,D,26,8,S,E,L, 
1/7/15,1/8/15,137.08,BXP,136.53,692,4,3,0,1,D,36,20,S,E, ,L
1/16/15,1/20/15,140.52,BXP,141.09,381,2,2,0,1,D,60,25, ,E,L,L
6/11/15,6/12/15,57.11,C,57.21,311,3,3,4,1,D,47,23,S, ,L,L
6/12/15,6/15/15,56.65,C,57.11,313,2,4,5,1,D,48,21, ,E,L,L
6/15/15,6/16/15,57.07,C,56.65,313,0,5,0,5,D,20,22, , , , 
6/16/15,6/17/15,56.54,C,57.07,313,0,4,0,5,D,27,22, , , ,L
6/17/15,6/18/15,56.76,C,56.54,313,0,5,0,5,D,20,22, , , ,L
6/18/15,6/19/15,56.23,C,56.76,313,0,5,0,5,D,20,22, , , ,L
6/19/15,6/22/15,56.95,C,56.23,313,0,6,0,5,D,17,21, , , , 
6/22/15,6/23/15,57.39,C,56.95,313,0,5,0,5,D,20,22, , , , 
6/24/15,6/25/15,56.19,C,56.66,313,0,6,3,5,D,30,18, , , , 
6/25/15,6/26/15,56.34,C,56.19,313,0,6,3,5,D,30,18,B, , , 
6/26/15,6/29/15,54.88,C,56.34,313,0,6,3,5,D,30,18, , , , 
2/5/15,2/6/15,32.03,CA,31.78,692,0,5,4,1,D,28,18,S,E, , 
2/13/15,2/17/15,32.58,CA,32.63,381,1,3,0,1,D,60,25,S,E,L,L
4/6/15,4/7/15,37.96,CAG,38.04,311,1,2,3,1,D,75,27,S,E,L,L
4/7/15,4/8/15,37.92,CAG,37.96,313,2,3,0,1,D,50,25, ,E,L,L
4/8/15,4/9/15,37.89,CAG,37.92,313,2,3,5,1,D,52,23, ,E,L,L
4/9/15,4/10/15,37.85,CAG,37.89,313,0,3,0,1,D,33,26, , ,L,L
4/10/15,4/13/15,37.6,CAG,37.85,313,0,3,0,5,D,33,23, , , ,L
