date,symbol
1/1/93,A
1/1/93,AA
1/1/93,AAPL
1/1/93,ABBV
1/1/93,ABC
1/1/93,ABT
1/1/93,ACE
1/1/93,ACN
1/1/93,ACT
1/1/93,ADBE
1/1/93,ADI
1/1/93,ADM
1/1/93,ADP
1/1/93,ADS
1/1/93,ADSK
1/1/93,ADT
1/1/93,AEE
1/1/93,AEP
1/1/93,AES
1/1/93,AET
1/1/93,AFL
1/1/93,AGN
1/1/93,AIG
1/1/93,AIV
1/1/93,AIZ
1/1/93,AKAM
1/1/93,ALL
1/1/93,ALLE
1/1/93,ALTR
1/1/93,ALXN
1/1/93,AMAT
1/1/93,AME
1/1/93,AMGN
1/1/93,AMP
1/1/93,AMT
1/1/93,AMZN
1/1/93,AN
1/1/93,AON
1/1/93,APA
1/1/93,APC
1/1/93,APD
1/1/93,APH
1/1/93,ARG
1/1/93,ATI
1/1/93,AVB
1/1/93,AVP
1/1/93,AVY
1/1/93,AXP
1/1/93,AZO
1/1/93,BA
1/1/93,BAC
1/1/93,BAX
1/1/93,BBBY
1/1/93,BBT
1/1/93,BBY
1/1/93,BCR
1/1/93,BDX
1/1/93,BEAM
1/1/93,BEN
1/1/93,BF.B
1/1/93,BHI
1/1/93,BIIB
1/1/93,BK
1/1/93,BLK
1/1/93,BLL
1/1/93,BMS
1/1/93,BMY
1/1/93,BRCM
1/1/93,BRK.B
1/1/93,BSX
1/1/93,BTU
1/1/93,BWA
1/1/93,BXP
1/1/93,C
1/1/93,CA
1/1/93,CAG
1/1/93,CAH
1/1/93,CAM
1/1/93,CAT
1/1/93,CB
1/1/93,CBG
1/1/93,CBS
1/1/93,CCE
1/1/93,CCI
1/1/93,CCL
1/1/93,CELG
1/1/93,CERN
1/1/93,CF
1/1/93,CFN
1/1/93,CHK
1/1/93,CHRW
1/1/93,CI
1/1/93,CINF
1/1/93,CL
1/1/93,CLF
1/1/93,CLX
1/1/93,CMA
1/1/93,CMCSA
1/1/93,CME
1/1/93,CMG
1/1/93,CMI
1/1/93,CMS
1/1/93,CNP
1/1/93,CNX
1/1/93,COF
1/1/93,COG
1/1/93,COH
1/1/93,COL
1/1/93,COP
1/1/93,COST
1/1/93,COV
1/1/93,CPB
1/1/93,CRM
1/1/93,CSC
1/1/93,CSCO
1/1/93,CSX
1/1/93,CTAS
