date,symbol,close,kno,w,h,e,n,rd,pct,cr
1/2/13,CAG,30.09,563,4,4,5,1,R,63,27
1/2/13,CMCSA,38.52,553,4,5,4,1,R,63,26
1/2/13,DLPH,38.88,393,1,2,1,1,D,92,27
1/2/13,EBAY,53.59,563,4,4,4,1,R,60,27
1/2/13,FITB,15.77,553,4,3,5,1,R,60,26
1/2/13,FOX,27.19,753,4,3,3,1,R,53,25
1/2/13,GM,29.13,141,1,2,2,1,D,83,25
1/2/13,HUM,68.44,577,0,8,0,7,D,87,25
1/2/13,IR,49.47,563,4,4,3,1,R,57,27
1/2/13,JCI,31.49,343,1,2,3,1,D,75,25
1/2/13,NTRS,51.81,311,1,2,1,1,D,92,29
1/2/13,ORCL,34.69,313,1,3,3,1,D,67,26
1/2/13,PCLN,638.4,753,0,7,5,7,R,79,26
1/2/13,PRGO,106.71,757,0,9,3,7,R,27,26
1/2/13,RHI,32.56,393,1,1,2,1,D,92,27
1/2/13,SCG,46.81,573,0,9,3,7,D,27,25
1/2/13,TIF,58.93,757,0,7,0,7,R,15,25
1/2/13,ZION,21.99,563,4,5,5,1,R,67,26
1/2/13,ADP,58.39,874,4,5,3,2,R,60,5
1/2/13,ADSK,36.94,874,4,3,5,8,R,60,6
1/2/13,ALTR,35.9,654,4,3,4,2,D,43,8
1/2/13,AXP,58.75,654,4,4,3,2,D,43,8
1/2/13,BSX,5.89,854,4,3,5,2,D,40,5
1/2/13,BTU,25.84,678,0,8,0,8,R,13,8
1/2/13,CELG,81.1,873,0,6,4,2,R,74,5
1/2/13,COG,49.23,853,0,7,0,2,D,15,7
1/2/13,CTL,40.18,654,4,4,4,2,D,40,8
1/2/13,CTXS,68.17,851,0,5,5,0,D,24,8
1/2/13,DPS,45.6,674,4,4,5,2,R,63,6
1/2/13,DTV,51.67,673,0,6,4,8,R,74,7
1/2/13,EXPD,40.9,874,4,3,4,8,R,57,6
1/2/13,FB,28,873,0,7,4,8,R,75,7
1/2/13,GAS,40.69,674,4,5,4,2,R,63,6
1/2/13,GME,25.66,673,0,8,3,2,R,72,7
1/2/13,HAR,45.86,654,4,4,3,2,D,43,8
1/2/13,HBAN,6.57,664,4,5,3,8,D,40,8
1/2/13,HES,53.71,663,0,7,3,8,D,29,8
1/2/13,LEG,27.75,654,0,6,4,2,D,26,8
1/2/13,LLY,49.51,661,0,8,0,2,D,13,8
1/2/13,LMT,93.27,653,0,7,3,2,D,29,8
1/2/13,MET,35.15,654,0,6,4,2,D,26,8
1/2/13,MTB,101.03,873,0,8,5,2,R,80,8
1/2/13,MUR,60.58,873,0,7,0,2,R,85,7
1/2/13,NFLX,92.01,854,0,6,5,8,D,22,7
1/2/13,NI,25.25,654,4,5,4,2,D,37,8
1/2/13,NOC,68.17,663,0,7,3,2,D,29,7
1/2/13,OMC,51.46,654,4,3,4,2,D,43,8
1/2/13,PLL,62.19,673,0,7,4,2,R,75,7
1/2/13,PX,112.58,654,4,3,5,2,D,40,8
1/2/13,RSG,29.53,663,0,5,5,8,D,24,8
1/2/13,VTR,65.16,661,0,7,3,2,D,29,7
1/2/13,XOM,88.71,854,0,9,0,2,D,12,5
1/3/13,ABT,33.27,361,1,2,1,1,D,92,26
1/3/13,AGN,96.53,321,1,4,1,1,D,80,26
1/3/13,BBBY,56.62,575,0,7,0,3,D,85,25
1/3/13,DO,70.35,563,0,6,4,1,R,74,27
1/3/13,ECL,74.1,553,4,4,4,1,R,60,26
1/3/13,F,13.46,391,1,1,3,1,D,83,26
1/3/13,FOX,26.88,753,4,3,3,1,R,53,25
1/3/13,GM,29.82,143,1,2,2,1,D,83,25
1/3/13,HRL,33.2,311,1,1,1,1,D,100,30
1/3/13,JCI,31.8,321,1,2,3,1,D,75,26
1/3/13,KO,37.6,571,0,7,3,7,D,29,26
1/3/13,LB,44.71,565,4,3,4,7,R,43,25
1/3/13,MO,32.56,771,0,9,3,7,D,27,26
1/3/13,NOV,69.67,757,0,9,5,7,R,19,25
1/3/13,NTRS,51.79,313,1,2,2,1,D,83,28
1/3/13,PLD,37.4,311,1,3,1,1,D,83,28
1/3/13,PM,85.86,567,0,7,3,7,R,29,25
1/3/13,RHI,32.88,393,1,1,1,1,D,100,28
1/3/13,ROK,86.19,311,4,3,1,1,D,63,25
1/3/13,TSS,22.38,571,0,7,3,7,D,29,26
1/3/13,UNH,51.99,565,4,5,4,7,R,37,25
1/3/13,AIG,36.18,664,0,5,5,2,D,24,7
1/3/13,AON,57.11,873,0,7,3,8,R,71,6
1/3/13,BBT,29.92,873,0,5,5,0,R,76,8
1/3/13,BCR,101.45,654,4,4,3,2,D,43,8
1/3/13,BSX,5.95,853,4,3,5,2,D,40,5
1/3/13,BTU,26.64,673,0,9,0,8,R,88,7
1/3/13,COG,49.89,854,0,7,0,2,D,15,7
1/3/13,DPS,45.42,673,0,5,5,2,R,76,6
1/3/13,DTV,51.62,673,0,6,4,8,R,74,7
1/3/13,EIX,46.34,664,4,6,4,2,D,35,8
1/3/13,FB,27.77,873,0,7,4,8,R,75,7
1/3/13,GAS,40.53,673,0,5,5,2,R,76,6
1/3/13,HAR,45.95,654,4,4,3,2,D,43,8
1/3/13,HBAN,6.65,664,4,4,3,8,D,43,8
1/3/13,HRS,49.44,654,0,6,4,2,D,26,8
1/3/13,HSP,32.26,874,4,5,5,8,R,67,7
1/3/13,HST,16.35,674,4,3,4,2,R,57,6
1/3/13,JWN,55.27,654,4,7,1,2,D,54,8
1/3/13,LEG,27.89,653,0,6,4,2,D,26,8
1/3/13,MCHP,33.4,664,4,4,3,8,D,43,8
1/3/13,MDT,42.47,661,0,7,4,2,D,25,8
1/3/13,MUR,60.81,873,0,7,0,2,R,85,7
1/3/13,PLL,62.59,673,0,6,4,2,R,74,6
1/3/13,RSG,29.73,664,0,5,5,8,D,24,8
1/3/13,STX,31.38,664,0,5,5,2,D,24,7
1/3/13,SYY,31.76,854,0,6,4,2,D,26,5
1/3/13,VTR,64.68,664,0,8,4,2,D,24,8
1/3/13,WAT,86.22,854,0,7,0,8,D,15,8
1/3/13,X,25.42,664,4,4,3,8,D,43,8
1/3/13,XOM,88.55,854,0,9,0,8,D,12,6
1/4/13,AAPL,527,587,0,6,4,7,R,26,25
1/4/13,ABT,33.07,363,1,3,1,1,D,83,25
1/4/13,AGN,97.87,311,1,3,1,1,D,83,28
1/4/13,AVY,36.44,311,4,3,1,1,D,63,25
1/4/13,BBBY,56.9,577,0,8,0,7,D,87,25
1/4/13,DAL,12.98,391,1,1,3,1,D,83,26
1/4/13,DGX,58,565,0,9,0,7,R,12,25
1/4/13,EMN,70.16,393,0,2,1,1,D,70,25
1/4/13,F,13.57,393,1,1,1,1,D,100,28
1/4/13,FRX,37.07,321,1,3,1,1,D,83,27
1/4/13,HRL,34.31,313,1,1,1,1,D,100,30
