date,symbol,close,kno,w,h,e,n,rd,pct,cr
1/3/05,ACT,31.9,854,0,6,5,8,D,22,7
1/3/05,BSX,34.29,875,0,7,3,6,R,29,7
1/3/05,DNB,58.93,654,0,9,0,2,D,12,8
1/3/05,FDO,30.76,873,0,7,0,8,R,85,8
1/3/05,HON,35.3,668,0,9,0,8,D,88,8
1/3/05,HRB,48.69,873,0,9,3,8,R,73,7
1/3/05,JCI,62.79,854,0,6,5,2,D,22,6
1/3/05,LLTC,38.11,858,0,9,0,8,D,88,6
1/3/05,SWK,47.93,663,0,7,5,2,D,21,8
1/3/05,TJX,24.85,673,0,7,4,8,R,75,8
1/3/05,WFC,61.91,854,0,9,0,8,D,12,6
1/3/05,XL,76.5,873,0,7,4,8,R,75,7
1/3/05,YHOO,38.18,661,0,8,4,2,D,24,8
1/3/05,AVP,38.19,757,0,7,5,7,R,21,26
1/3/05,CI,80,313,0,3,0,1,D,33,26
1/3/05,CVX,50.9,757,4,4,4,9,R,40,25
1/3/05,DIS,27.85,563,0,6,5,1,R,78,26
1/3/05,DVA,39.36,383,0,2,0,1,D,50,25
1/3/05,EA,60.88,383,0,1,0,1,D,67,26
1/3/05,EMN,57.3,313,0,3,0,1,D,33,26
1/3/05,GT,14.9,313,0,3,0,1,D,33,26
1/3/05,HD,43.1,754,0,7,4,5,R,75,25
1/3/05,INTC,23.07,567,0,9,0,7,R,12,25
1/3/05,MON,54.75,313,0,2,0,1,D,50,26
1/3/05,MYL,17.56,567,0,9,0,7,R,12,25
1/3/05,NDAQ,10.15,393,0,1,2,1,D,70,25
1/3/05,NEM,42.36,565,4,3,4,7,R,43,25
1/3/05,NSC,35.53,752,0,7,3,5,R,71,26
1/3/05,PAYX,33.4,563,0,9,0,7,R,88,25
1/3/05,PEG,50.95,393,0,1,0,1,D,67,25
1/3/05,RF,35.25,573,0,9,5,1,D,19,26
1/3/05,SNA,34.26,323,0,3,0,1,D,33,25
1/4/05,BSX,34.17,878,0,7,3,6,R,29,7
1/4/05,FDO,30.17,873,0,9,0,8,R,88,6
1/4/05,IPG,13.21,853,0,6,5,8,D,22,7
1/4/05,JCI,61.98,854,0,7,0,8,D,15,8
1/4/05,LIFE,65.46,871,0,7,0,8,R,85,8
1/4/05,ORLY,44.94,664,0,7,3,2,D,29,7
1/4/05,PCLN,23.88,661,0,7,3,8,D,29,8
1/4/05,REGN,8.35,858,0,7,3,0,D,71,8
1/4/05,TJX,24.76,673,0,8,3,8,R,72,8
1/4/05,WFC,61.96,854,0,9,0,2,D,12,5
1/4/05,XL,76.68,873,0,7,5,8,R,79,7
1/4/05,AVY,58.35,565,0,7,3,7,R,29,25
