date,symbol,close,kno,w,h,e,n,rd,pct,cr
1/3/07,AEE,54,858,0,9,0,2,D,88,5
1/3/07,APD,71.91,664,0,6,4,2,D,26,7
1/3/07,BXP,112.09,873,0,8,4,2,R,76,6
1/3/07,CA,23.32,851,0,8,4,8,D,24,7
1/3/07,CMA,59.18,664,0,8,0,2,D,13,8
1/3/07,DOV,48.8,678,0,7,5,8,R,21,8
1/3/07,EMN,60.05,664,0,8,2,2,D,38,7
1/3/07,FOSL,22.97,664,0,6,4,2,D,26,7
1/3/07,HST,24.56,673,0,7,0,2,R,85,8
1/3/07,JNPR,19.23,678,0,9,0,8,R,12,7
1/3/07,K,50.45,854,0,7,0,2,D,15,7
1/3/07,KIM,45.11,673,0,9,0,2,R,88,6
1/3/07,MAT,23.05,664,0,8,0,2,D,13,8
1/3/07,PBI,46.37,668,0,8,4,2,D,76,8
1/3/07,PKI,21.89,873,0,7,0,8,R,85,8
1/3/07,RF,38.02,851,0,6,4,2,D,26,5
1/3/07,STX,26.07,854,0,6,5,8,D,22,7
1/3/07,SWK,50.78,873,0,7,0,2,R,85,7
1/3/07,WDC,20.44,673,0,8,0,8,R,87,8
1/3/07,WYN,32.59,664,0,8,0,2,D,13,8
1/3/07,AMT,38,753,0,7,2,1,R,61,25
1/3/07,APH,63.75,757,0,6,4,9,R,26,25
1/3/07,BEN,113.38,553,0,6,4,1,R,74,26
1/3/07,CCE,20.5,753,0,9,0,7,R,88,27
1/3/07,CCI,31.56,757,3,4,4,7,R,43,27
1/3/07,COF,77.25,567,0,9,0,7,R,12,25
1/3/07,DTE,49.2,313,0,4,0,1,D,27,25
1/3/07,FMC,76.47,383,0,3,0,1,D,33,25
1/3/07,GT,22.8,381,1,1,3,1,D,83,27
1/3/07,LEG,23.61,755,0,9,3,7,R,27,26
1/3/07,MON,51.68,383,0,3,0,1,D,33,25
1/3/07,MU,14.03,597,0,8,0,7,R,13,25
1/3/07,PCG,47.27,313,0,4,0,1,D,27,25
1/3/07,PCL,39.85,313,2,1,3,1,D,75,27
1/3/07,PNR,30.05,757,0,5,5,7,R,24,27
1/3/07,ROST,30.49,753,0,9,0,9,R,88,25
1/3/07,RSG,41,757,0,7,3,9,R,29,25
1/3/07,SNDK,41.72,567,0,6,4,7,R,26,25
1/3/07,TWX,22.03,313,0,3,0,1,D,33,26
1/3/07,UNM,20.79,553,0,8,0,1,R,87,25
1/3/07,YHOO,25.61,757,0,7,0,7,R,15,25
1/4/07,A,34.41,664,0,8,2,8,D,38,8
1/4/07,ACT,26.83,664,0,6,5,2,D,22,8
1/4/07,BXP,111.68,873,0,9,0,2,R,88,5
1/4/07,CERN,46.5,668,0,7,3,2,D,71,7
1/4/07,CMA,59.21,664,0,8,0,2,D,13,8
1/4/07,EMN,59.76,664,0,9,3,2,D,27,8
1/4/07,ETN,75.26,651,0,9,0,2,D,12,8
1/4/07,GHC,758.88,851,0,5,5,8,D,24,6
1/4/07,HST,24.5,673,0,8,0,2,R,87,7
1/4/07,IP,34.16,854,0,7,0,8,D,15,8
1/4/07,JNPR,19.5,673,0,9,0,8,R,88,7
1/4/07,K,50.06,854,0,9,0,2,D,12,5
1/4/07,LEN,50.09,664,0,9,0,8,D,12,8
1/4/07,MTB,122.55,854,0,6,0,2,D,17,8
1/4/07,PAYX,40.01,664,0,8,0,2,D,13,8
1/4/07,PEG,66.46,873,0,7,0,8,R,85,8
1/4/07,PG,64.05,664,0,8,0,2,D,13,8
1/4/07,RF,37.84,853,0,7,5,2,D,21,6
1/4/07,STX,26.4,854,0,6,5,2,D,22,6
1/4/07,SWK,51.1,873,0,7,5,2,R,79,6
1/4/07,VNO,122,673,0,8,3,2,R,72,7
1/4/07,WFC,35.8,668,0,8,4,2,D,76,8
1/4/07,WYN,32.26,664,0,8,0,2,D,13,8
1/4/07,ADS,64.6,553,0,7,4,1,R,75,25
1/4/07,AMT,37.85,753,0,7,3,5,R,71,26
1/4/07,BHI,68.28,565,4,6,3,7,R,38,25
1/4/07,CCE,20.4,757,0,9,0,7,R,12,27
1/4/07,CCI,32.05,757,0,5,5,7,R,24,27
1/4/07,COF,77.16,567,0,9,0,7,R,12,25
1/4/07,COH,45,564,0,5,5,1,R,76,27
1/4/07,CTXS,27.95,757,0,7,5,7,R,21,26
1/4/07,FCX,50.96,557,4,4,3,3,R,43,25
1/4/07,FFIV,76.36,753,0,6,4,5,R,74,26
1/4/07,FSLR,28.75,393,0,1,2,1,D,70,25
1/4/07,FTI,56.7,567,4,6,3,7,R,38,25
1/4/07,GT,22.67,383,1,2,3,1,D,75,26
1/4/07,HCP,37.49,391,1,2,3,1,D,75,25
1/4/07,HRS,48.83,391,1,2,2,1,D,83,26
1/4/07,HSY,50.41,587,0,6,4,7,R,26,25
1/4/07,LEG,23.54,757,0,9,3,7,R,27,26
1/4/07,MSI,20.55,567,0,6,4,7,R,26,25
1/4/07,MUR,47.99,567,4,5,2,3,R,48,26
1/4/07,NDAQ,31.89,567,0,5,5,7,R,24,25
1/4/07,OXY,45.76,557,4,5,2,3,R,48,25
1/4/07,PETM,29.55,553,0,9,0,1,R,88,26
1/4/07,PVH,51.95,573,0,5,5,5,D,24,25
1/4/07,RIG,75.57,567,4,7,2,7,R,46,25
1/4/07,SCHW,19.61,553,0,6,4,1,R,74,26
1/4/07,SE,29.05,391,1,1,2,1,D,92,27
1/4/07,SNDK,42.21,567,0,6,4,7,R,26,25
1/4/07,TGT,57.59,757,0,9,0,9,R,12,25
1/4/07,VLO,48.89,567,4,5,3,3,R,40,26
1/5/07,AET,41.4,877,0,9,3,8,R,27,7
1/5/07,DOV,48.4,678,0,7,5,8,R,21,8
1/5/07,EMN,59.54,664,0,9,0,8,D,12,8
1/5/07,FDO,28.95,664,0,9,0,2,D,12,7
1/5/07,KO,48.26,873,0,6,0,2,R,83,8
1/5/07,MAT,22.93,664,0,9,0,2,D,12,7
1/5/07,MHFI,66.81,854,0,8,4,2,D,24,6
1/5/07,PAYX,40.03,664,0,8,0,2,D,13,8
1/5/07,PBI,46.4,668,0,8,0,2,D,87,8
1/5/07,PEP,62.95,654,0,9,0,2,D,12,8
1/5/07,PG,63.5,668,0,9,0,2,D,88,7
1/5/07,SCG,40.92,668,0,8,3,2,D,72,8
1/5/07,STX,26.01,854,0,7,4,8,D,25,7
1/5/07,SWK,50.9,873,0,7,0,2,R,85,7
1/5/07,TMK,63.43,664,0,9,3,2,D,27,8
1/5/07,WYN,32.24,664,0,8,0,2,D,13,8
1/5/07,YHOO,27.74,664,4,6,3,8,D,38,8
1/5/07,AMT,37.52,753,0,8,3,5,R,72,25
1/5/07,APH,64.63,757,0,7,3,9,R,29,25
1/5/07,BHI,67.77,567,4,6,2,7,R,47,25
1/5/07,CCE,20.4,757,0,9,0,7,R,12,27
