date,next_date,next_close,symbol,close,kno,w,h,e,n,rd,pct,cr,bsval1,bsval2,bsval3,bsval4
01/09/2002,01/10/2002,47.93,STZ,47.75,391,1,2,1,1,D,92,27,S,E,L,L
01/10/2002,01/11/2002,48.18,STZ,47.93,381,2,2,1,1,D,83,27, ,E,L,L
01/23/2002,01/24/2002,29.68,HCBK,29.86,313,1,1,2,1,D,92,29,S,E,L,L
01/25/2002,01/28/2002,28.50,SYY,28.50,321,1,3,1,1,D,83,27,S,E,L,L
01/28/2002,01/29/2002,106.54,NOC,108.37,321,1,3,1,1,D,83,27,S,E,L,L
01/31/2002,02/01/2002,52.43,LMT,52.97,313,1,2,2,1,D,83,28,S,E,L,L
01/31/2002,02/01/2002,38.89,VAR,39.40,391,1,3,1,1,D,83,26,S,E,L,L
02/01/2002,02/04/2002,25.38,R,26.00,391,1,2,1,1,D,92,27,S,E,L,L
02/01/2002,02/04/2002,37.48,RTN,38.65,391,1,2,2,1,D,83,26,S,E,L,L
02/05/2002,02/06/2002,42.04,CLX,42.35,391,1,3,1,1,D,83,26,S,E,L,L
02/11/2002,02/12/2002,38.70,TEG,38.34,391,1,2,2,1,D,83,26,S,E,L,L
02/20/2002,02/21/2002,34.51,K,34.50,391,1,2,1,1,D,92,27,S,E,L,L
02/22/2002,02/25/2002,49.05,MKC,48.92,313,1,2,2,1,D,83,28,S,E,L,L
02/25/2002,02/26/2002,81.80,ETN,81.10,391,1,3,1,1,D,83,26,S,E,L,L
02/25/2002,02/26/2002,47.34,MKC,49.05,313,1,2,2,1,D,83,28,S,E,L,L
02/26/2002,02/27/2002,45.27,CLX,44.75,391,1,1,3,1,D,83,26,S,E,L,L
02/26/2002,02/27/2002,80.99,ETN,81.80,381,1,3,1,1,D,83,27,S,E,L,L
03/01/2002,03/04/2002,46.30,BEAM,46.66,311,1,2,1,1,D,92,29,S,E,L,L
03/01/2002,03/04/2002,26.35,NSC,25.19,391,1,2,1,1,D,92,27,S,E,L,L
03/04/2002,03/05/2002,66.82,FITB,66.33,391,1,3,1,1,D,83,26,S,E,L,L
03/04/2002,03/05/2002,51.52,IR,53.31,391,1,1,2,1,D,92,27,S,E,L,L
03/04/2002,03/05/2002,26.01,NSC,26.35,381,1,1,1,1,D,100,29,S,E,L,L
03/04/2002,03/05/2002,74.05,PCAR,79.20,381,1,2,2,1,D,83,27,S,E,L,L
03/04/2002,03/05/2002,63.40,UNP,65.05,381,1,3,1,1,D,83,27,S,E,L,L
03/04/2002,03/05/2002,48.62,WFC,49.14,311,1,3,1,1,D,83,28,S,E,L,L
03/06/2002,03/07/2002,44.08,VNO,44.12,311,1,3,1,1,D,83,28,S,E,L,L
03/08/2002,03/11/2002,63.81,JNJ,63.66,391,1,2,2,1,D,83,26,S,E,L,L
03/11/2002,03/12/2002,63.65,JNJ,63.81,381,2,2,1,1,D,83,27, ,E,L,L
03/13/2002,03/14/2002,45.14,PNR,44.58,311,1,1,3,1,D,83,28,S,E,L,L
03/14/2002,03/15/2002,44.28,PNR,45.14,313,1,1,2,1,D,92,29,S,E,L,L
03/15/2002,03/18/2002,29.00,TSS,27.85,321,1,3,1,2,D,83,19,S,E,L,L
03/19/2002,03/20/2002,50.03,BEAM,49.33,311,1,1,1,1,D,100,30,S,E,L,L
03/20/2002,03/21/2002,48.71,BEAM,50.03,313,1,1,2,1,D,92,29,S,E,L,L
03/22/2002,03/25/2002,35.05,LUK,35.30,313,1,1,3,1,D,83,28,S,E,L,L
03/22/2002,03/25/2002,20.84,MAT,21.00,381,1,2,2,1,D,83,27,S,E,L,L
03/26/2002,03/27/2002,30.41,SCG,30.14,381,2,2,1,1,D,83,27, ,E,L,L
03/27/2002,03/28/2002,43.73,PDCO,43.75,331,1,3,1,1,D,83,28,S,E,L,L
03/28/2002,04/01/2002,33.47,CHRW,33.60,313,1,3,1,1,D,83,28,S,E,L,L
04/01/2002,04/02/2002,17.85,OI,18.10,391,1,3,1,1,D,83,26,S,E,L,L
04/02/2002,04/03/2002,7.85,CHK,8.14,321,1,2,1,1,D,92,28,S,E,L,L
04/08/2002,04/09/2002,46.82,PDCO,46.66,311,2,2,1,1,D,83,28, ,E,L,L
04/08/2002,04/09/2002,13.71,SWN,13.75,311,1,1,2,1,D,92,29,S,E,L,L
04/09/2002,04/10/2002,52.62,BEAM,51.60,311,1,2,2,1,D,83,28,S,E,L,L
04/09/2002,04/10/2002,35.03,HCBK,35.00,311,1,3,1,1,D,83,28,S,E,L,L
04/09/2002,04/10/2002,43.29,HCP,42.70,391,1,1,3,1,D,83,26,S,E,L,L
04/09/2002,04/10/2002,37.69,LUK,37.42,313,1,1,3,1,D,83,28,S,E,L,L
04/09/2002,04/10/2002,47.12,PDCO,46.82,313,2,2,1,1,D,83,28, ,E,L,L
04/09/2002,04/10/2002,13.45,SWN,13.71,313,1,2,2,1,D,83,28,S,E,L,L
04/10/2002,04/11/2002,52.57,BEAM,52.62,313,1,2,2,1,D,83,28,S,E,L,L
04/10/2002,04/11/2002,81.31,FAST,81.99,331,1,3,1,1,D,83,28,S,E,L,L
04/10/2002,04/11/2002,34.92,HCBK,35.03,313,1,3,1,1,D,83,28,S,E,L,L
04/10/2002,04/11/2002,43.10,HCP,43.29,381,1,1,3,1,D,83,27,S,E,L,L
04/10/2002,04/11/2002,37.20,LUK,37.69,313,1,1,2,1,D,92,29,S,E,L,L
04/10/2002,04/11/2002,21.43,SPLS,22.14,313,1,3,1,1,D,83,28,S,E,L,L
04/12/2002,04/15/2002,30.47,SHW,30.97,391,1,2,2,1,D,83,26,S,E,L,L
04/12/2002,04/15/2002,46.63,VNO,47.10,391,1,1,1,1,D,100,28,S,E,L,L
04/15/2002,04/16/2002,28.80,CLF,31.10,391,1,1,2,1,D,92,27,S,E,L,L
04/18/2002,04/19/2002,48.48,GAS,48.10,381,1,1,1,1,D,100,29,S,E,L,L
04/18/2002,04/19/2002,85.78,UNH,84.26,381,1,1,3,1,D,83,27,S,E,L,L
04/19/2002,04/22/2002,44.51,AET,44.42,391,1,2,1,1,D,92,27,S,E,L,L
04/26/2002,04/29/2002,40.75,MCK,41.81,391,1,2,1,1,D,92,27,S,E,L,L
04/30/2002,05/01/2002,59.00,HAR,59.05,313,1,3,1,1,D,83,28,S,E,L,L
05/09/2002,05/10/2002,48.86,MCO,49.03,391,1,1,2,1,D,92,27,S,E,L,L
05/15/2002,05/16/2002,33.14,FOSL,33.55,311,1,2,2,1,D,83,28,S,E,L,L
05/17/2002,05/20/2002,22.22,CCE,22.43,313,1,2,1,1,D,92,29,S,E,L,L
05/21/2002,05/22/2002,22.67,CCE,22.36,313,2,2,1,1,D,83,28, ,E,L,L
05/24/2002,05/28/2002,16.20,NFLX,16.94,391,1,1,2,1,D,92,27,S,E,L,L
06/05/2002,06/06/2002,17.60,PETM,17.92,381,1,3,1,1,D,83,27,S,E,L,L
06/18/2002,06/19/2002,107.50,GD,107.24,391,1,3,1,1,D,83,26,S,E,L,L
06/19/2002,06/20/2002,31.65,BSX,29.51,391,1,3,1,1,D,83,26,S,E,L,L
06/21/2002,06/24/2002,69.50,LMT,70.36,391,1,3,1,1,D,83,26,S,E,L,L
06/24/2002,06/25/2002,36.00,SPG,35.88,381,1,3,1,1,D,83,27,S,E,L,L
07/02/2002,07/03/2002,15.00,NDAQ,15.13,391,1,1,2,1,D,92,27,S,E,L,L
07/26/2002,07/29/2002,79.49,HSY,78.72,381,1,1,1,1,D,100,29,S,E,L,L
09/09/2002,09/10/2002,53.82,BLL,53.87,391,2,2,1,1,D,83,26, ,E,L,L
09/30/2002,10/01/2002,89.85,FRX,82.01,321,2,2,1,1,D,83,27, ,E,L,L
10/01/2002,10/02/2002,89.25,FRX,89.85,311,1,1,1,1,D,100,30,S,E,L,L
10/02/2002,10/03/2002,34.39,BSX,35.60,311,1,1,1,1,D,100,30,S,E,L,L
10/02/2002,10/03/2002,91.18,FRX,89.25,313,1,1,1,1,D,100,30,S,E,L,L
10/03/2002,10/04/2002,35.14,BSX,34.39,313,1,2,1,1,D,92,29,S,E,L,L
10/03/2002,10/04/2002,88.54,FRX,91.18,313,2,1,1,1,D,92,29, ,E,L,L
10/17/2002,10/18/2002,99.47,FRX,100.29,391,1,1,3,1,D,83,26,S,E,L,L
10/21/2002,10/22/2002,41.00,ALL,41.30,391,1,2,1,1,D,92,27,S,E,L,L
11/06/2002,11/07/2002,2.62,GLW,2.81,321,1,2,2,0,D,83,22,S,E,L,L
11/21/2002,11/22/2002,26.60,SNDK,26.76,391,1,1,1,1,D,100,28,S,E,L,L
11/22/2002,11/25/2002,22.24,REGN,21.54,321,1,1,1,2,D,100,21,S,E,L,L
11/25/2002,11/26/2002,42.77,KLAC,44.14,321,2,2,1,8,D,83,20, ,E,L,L
