date,next_date,symbol,close,kno,w,h,e,n,rd,pct,cr,bsval1,bsval2,bsval3,bsval4
01/02/2002,01/03/2002,CCE,19.38,851,0,7,0,8,D,15,8, , , , 
01/02/2002,01/03/2002,HRB,43.69,313,0,3,3,1,D,40,24,B, , ,L
01/02/2002,01/03/2002,MDT,50.00,313,0,3,3,1,D,40,24,B, , ,L
01/02/2002,01/03/2002,OI,9.98,313,0,2,0,5,D,50,23, , , ,L
01/02/2002,01/03/2002,ROP,49.88,313,0,3,0,1,D,33,26, , ,L,L
01/02/2002,01/03/2002,SHW,27.09,313,0,8,5,5,D,20,19,B, , , 
01/02/2002,01/03/2002,THC,59.40,851,0,8,3,2,D,28,6, , , , 
01/02/2002,01/03/2002,WDC,6.14,313,0,3,5,5,D,32,18, , , ,L
01/02/2002,01/03/2002,XRAY,49.99,313,0,4,4,1,D,32,21, , , ,L
01/03/2002,01/04/2002,HRB,42.98,313,0,4,4,1,D,32,21,B, , ,L
01/03/2002,01/04/2002,MDT,49.51,313,0,3,2,1,D,50,25,B, , ,L
01/03/2002,01/04/2002,OI,9.99,313,0,3,0,1,D,33,26, , , ,L
01/03/2002,01/04/2002,ROP,50.51,313,0,3,0,1,D,33,26, , ,L,L
01/03/2002,01/04/2002,SCHW,16.85,851,0,5,4,2,D,28,9,S, , , 
01/03/2002,01/04/2002,SHW,28.00,313,0,6,3,1,D,30,21, , , , 
01/03/2002,01/04/2002,WDC,6.14,313,0,4,4,5,D,32,18, , , ,L
01/03/2002,01/04/2002,XRAY,50.08,313,0,4,3,1,D,36,23, , , ,L
01/04/2002,01/07/2002,AKAM,6.21,851,0,6,3,8,D,30,10, , , , 
01/04/2002,01/07/2002,HRB,42.89,313,0,4,0,5,D,27,22, ,U, ,L
01/04/2002,01/07/2002,MDT,48.99,313,0,4,2,5,D,46,21, ,U, ,L
01/04/2002,01/07/2002,MS,59.64,851,0,6,3,2,D,30,9,S, , , 
01/04/2002,01/07/2002,OI,9.98,313,0,3,0,1,D,33,26, , , ,L
01/04/2002,01/07/2002,ROP,51.80,313,0,2,0,1,D,50,26,S, , ,L
01/04/2002,01/07/2002,SHW,27.91,313,0,6,3,5,D,30,18,S, , , 
01/04/2002,01/07/2002,WAG,34.56,851,0,6,0,0,D,17,11,S, , , 
01/04/2002,01/07/2002,WDC,6.45,313,0,3,0,1,D,33,26, , , ,L
01/04/2002,01/07/2002,XRAY,50.10,313,0,4,1,1,D,56,25, , , ,L
01/07/2002,01/08/2002,HRB,42.75,313,0,5,4,5,D,28,18, , , ,L
01/07/2002,01/08/2002,MDT,48.60,313,0,5,2,9,D,42,19, ,U, ,L
01/07/2002,01/08/2002,NE,33.86,851,0,6,0,8,D,17,9, , , , 
01/07/2002,01/08/2002,OI,10.38,313,0,3,0,1,D,33,26, , , ,L
01/07/2002,01/08/2002,ROP,51.34,313,0,3,0,1,D,33,26, , , ,L
01/07/2002,01/08/2002,THC,62.50,311,4,5,1,1,D,57,23,S,E,L, 
01/07/2002,01/08/2002,WDC,6.86,313,0,3,0,1,D,33,26,S, , ,L
01/07/2002,01/08/2002,XRAY,50.20,313,0,4,3,1,D,36,23, , , ,L
01/08/2002,01/09/2002,HRB,43.90,313,0,4,5,5,D,28,18, , , ,L
01/08/2002,01/09/2002,MDT,48.61,313,0,5,2,2,D,42,15, , , ,L
01/08/2002,01/09/2002,ROP,50.99,313,0,3,0,1,D,33,26, , , ,L
01/08/2002,01/09/2002,THC,61.93,313,0,5,3,5,D,32,18, ,E,L, 
01/08/2002,01/09/2002,UPS,57.22,851,0,5,1,2,D,52,11, ,E, , 
01/08/2002,01/09/2002,XRAY,50.17,313,0,4,3,1,D,36,23, , , ,L
01/09/2002,01/10/2002,CAM,40.36,851,0,7,4,0,D,25,9, , , , 
01/09/2002,01/10/2002,COL,19.54,851,0,7,0,8,D,15,8, , , , 
01/09/2002,01/10/2002,GT,24.77,851,0,5,3,8,D,32,11, , , , 
01/09/2002,01/10/2002,HRB,43.10,313,0,5,5,5,D,24,18, , , ,L
01/09/2002,01/10/2002,MDT,48.28,313,0,5,0,8,D,20,18, , , ,L
01/09/2002,01/10/2002,ROP,50.15,313,0,3,0,1,D,33,26, , , ,L
01/09/2002,01/10/2002,THC,62.10,313,0,5,3,1,D,32,21, ,E,L, 
01/09/2002,01/10/2002,XRAY,50.30,313,0,4,3,1,D,36,23, , , ,L
01/10/2002,01/11/2002,AEE,43.09,851,0,5,4,2,D,28,9,S, , ,L
01/10/2002,01/11/2002,HRB,42.20,313,0,6,5,5,D,22,18,B, , ,L
01/10/2002,01/11/2002,MDT,48.74,313,0,5,0,2,D,20,17, , , , 
01/10/2002,01/11/2002,POM,22.38,851,0,5,5,8,D,24,6, , , ,L
01/10/2002,01/11/2002,ROP,49.11,313,0,4,0,1,D,27,25,B,U, ,L
01/10/2002,01/11/2002,THC,62.60,313,0,5,4,1,D,28,21, , ,L, 
01/10/2002,01/11/2002,XRAY,50.68,313,0,4,3,1,D,36,23, , , ,L
01/11/2002,01/14/2002,HRB,42.35,313,0,6,0,5,D,17,21, , , , 
01/11/2002,01/14/2002,ROP,48.89,313,0,5,5,5,D,24,18, , , ,L
01/11/2002,01/14/2002,THC,63.15,313,0,4,0,5,D,27,22, , ,L, 
01/14/2002,01/15/2002,DGX,69.96,851,0,6,0,2,D,17,8, , , , 
01/14/2002,01/15/2002,HRB,41.83,313,0,7,0,5,D,15,21, ,U, , 
01/14/2002,01/15/2002,MDT,48.63,313,0,6,3,8,D,30,14, , , , 
01/14/2002,01/15/2002,THC,64.77,313,1,3,4,1,D,63,25,S,E,L,L
01/14/2002,01/15/2002,XRAY,50.53,313,0,4,0,5,D,27,22, , , ,L
01/15/2002,01/16/2002,HCBK,27.92,111,2,3,3,1,D,58,25, ,E,L,L
01/15/2002,01/16/2002,HRB,42.73,313,0,6,0,5,D,17,21, , , , 
01/15/2002,01/16/2002,LMT,48.50,851,0,6,5,5,D,22,11,S, , , 
01/15/2002,01/16/2002,MDT,48.61,313,0,6,3,8,D,30,14, , , , 
01/15/2002,01/16/2002,NOC,98.23,851,0,7,5,8,D,21,7, , , , 
01/15/2002,01/16/2002,THC,65.22,313,1,3,4,1,D,63,25,S,E,L,L
01/15/2002,01/16/2002,XRAY,50.89,313,0,4,4,5,D,32,18, , , ,L
