Date,Stock,Close,KNO,W,H,E,N,RD,%
2/3/97,ABC,49.75,313,1,3,1,1,D,83
2/4/97,ABC,51.25,313,1,2,2,1,D,83
4/19/13,ABC,55.92,311,1,1,2,1,D,92
8/20/96,ACT,26,417,1,1,3,4,R,83
10/6/97,ACT,65.13,311,1,2,2,1,D,83
6/6/03,ACT,39.83,311,1,1,3,1,D,83
6/16/03,ACT,42.13,313,1,1,3,1,D,83
5/3/04,ACT,35.42,415,1,1,3,4,R,83
5/2/11,ACT,63.36,313,1,2,1,1,D,92
4/30/13,ACT,105.73,311,1,1,2,1,D,92
5/15/13,ACT,123.88,313,1,1,1,1,D,100
2/19/14,ACT,210.56,313,1,1,2,1,D,92
2/20/14,ACT,220.37,313,1,1,1,1,D,100
2/21/14,ACT,218.41,313,1,1,1,1,D,100
3/18/15,ACT,313.95,313,1,2,2,1,D,83
7/5/13,AFSI,39.36,313,1,1,3,1,D,83
6/20/02,AKAM,1.09,415,1,2,1,4,R,92
6/21/02,AKAM,1.05,417,1,2,1,4,R,92
6/24/02,AKAM,0.96,417,1,2,1,4,R,92
6/25/02,AKAM,0.94,417,1,2,1,4,R,92
9/9/08,AKAM,17.72,417,1,2,2,4,R,83
1/16/08,AKRX,8.07,311,1,2,2,1,D,83
8/28/13,AKRX,18.29,311,1,1,2,1,D,92
10/1/13,AKRX,20.49,311,1,1,3,1,D,83
10/2/13,AKRX,20.22,313,1,2,2,1,D,83
11/19/13,AKRX,23.95,311,1,2,2,1,D,83
11/25/13,AKRX,25.39,311,1,1,3,1,D,83
11/26/13,AKRX,25.33,313,1,1,3,1,D,83
12/8/94,ALK,13.75,415,1,1,1,4,R,100
12/9/94,ALK,13.63,417,1,1,1,4,R,100
3/14/96,ALK,25.5,311,1,1,1,1,D,100
3/15/96,ALK,25.63,313,1,1,1,1,D,100
3/19/96,ALK,26.88,313,1,1,2,1,D,92
4/3/96,ALK,29.75,313,1,1,1,1,D,100
4/4/96,ALK,30,313,1,1,1,1,D,100
10/23/97,ALK,34.5,313,1,2,1,1,D,92
12/4/97,ALK,40.06,313,1,1,2,1,D,92
1/16/98,ALK,44.5,313,1,2,1,1,D,92
1/20/98,ALK,45.81,313,1,1,1,1,D,100
1/21/98,ALK,46.75,313,1,1,1,1,D,100
2/12/98,ALK,57.44,313,1,1,3,1,D,83
2/13/98,ALK,56.94,313,1,1,3,1,D,83
10/9/02,ALK,14.11,417,1,1,3,4,R,83
10/9/03,ALK,31.6,311,1,3,1,1,D,83
4/30/07,ALK,29.6,415,1,1,2,4,R,92
5/1/07,ALK,29.77,417,1,1,3,4,R,83
1/7/11,ALK,62.72,311,1,3,1,1,D,83
1/10/11,ALK,62.95,313,1,3,1,1,D,83
12/19/12,ALK,44.8,311,1,2,2,1,D,83
9/8/14,AMBA,38.92,313,1,2,1,1,D,92
12/5/96,AOS,31.5,311,1,1,1,1,D,100
5/18/98,AOS,50.06,311,1,1,1,1,D,100
5/19/98,AOS,51.19,313,1,1,1,1,D,100
5/20/98,AOS,52,313,1,1,1,1,D,100
5/21/98,AOS,52.13,313,1,1,1,1,D,100
10/6/98,AOS,17.88,417,1,1,3,4,R,83
9/21/05,AOS,25.36,417,1,3,1,4,R,83
2/3/12,AOS,45.08,311,1,3,1,1,D,83
2/6/12,AOS,45.57,313,1,3,1,1,D,83
12/4/14,AVGO,103.07,313,1,1,2,1,D,92
12/5/14,AVGO,103.99,313,1,1,1,1,D,100
12/21/95,BIIB,17.38,311,1,2,1,1,D,92
12/22/95,BIIB,20.63,313,1,1,1,1,D,100
12/26/95,BIIB,23.13,313,1,1,1,1,D,100
8/11/99,BIIB,120.38,311,1,1,1,1,D,100
12/22/99,BIIB,86.06,311,1,2,1,1,D,92
12/23/99,BIIB,95.31,313,1,1,1,1,D,100
12/27/99,BIIB,97.88,313,1,1,1,1,D,100
1/10/00,BIIB,119.5,311,1,1,3,1,D,83
4/15/11,BIIB,82.96,311,1,1,1,1,D,100
4/25/11,BIIB,100.28,311,1,1,2,1,D,92
4/26/11,BIIB,101.8,313,1,1,1,1,D,100
3/28/13,BIIB,192.62,311,1,1,2,1,D,92
4/1/13,BIIB,192.77,313,1,1,1,1,D,100
4/2/13,BIIB,198.19,313,1,1,1,1,D,100
1/6/11,CAVM,44.66,311,1,2,2,1,D,83
12/14/10,CBM,5.3,313,1,3,1,1,D,83
12/16/10,CBM,5.68,313,1,2,1,1,D,92
12/17/10,CBM,5.85,313,1,1,1,1,D,100
12/20/10,CBM,6.07,313,1,1,1,1,D,100
6/26/12,CBM,8.89,311,1,2,1,1,D,92
6/27/12,CBM,8.71,313,1,2,1,1,D,92
5/30/95,CELG,8.38,311,1,1,3,1,D,83
5/31/95,CELG,9,313,1,1,2,1,D,92
6/1/95,CELG,9.25,313,1,1,1,1,D,100
6/2/95,CELG,10.69,313,1,1,1,1,D,100
12/7/95,CELG,11.41,313,1,3,1,1,D,83
12/26/95,CELG,12.38,313,1,3,1,1,D,83
2/8/00,CELG,99.75,311,1,2,2,1,D,83
2/9/00,CELG,107.5,313,1,1,1,1,D,100
2/11/00,CELG,118.38,313,1,1,1,1,D,100
2/14/00,CELG,115.88,313,1,1,2,1,D,92
2/16/00,CELG,134,313,1,1,3,1,D,83
2/17/00,CELG,143,313,1,1,2,1,D,92
9/5/03,CELG,44.87,313,1,1,1,1,D,100
9/8/03,CELG,46.52,313,1,1,1,1,D,100
9/9/03,CELG,47.44,313,1,1,1,1,D,100
1/9/06,CELG,71.88,313,1,2,1,1,D,92
1/9/13,CELG,92.34,311,1,1,1,1,D,100
1/10/13,CELG,95.48,313,1,1,1,1,D,100
1/11/13,CELG,96.3,313,1,1,1,1,D,100
1/15/13,CELG,99.39,313,1,1,3,1,D,83
6/9/95,CGNX,37.75,311,1,2,2,1,D,83
12/28/99,CGNX,37.28,313,1,2,1,1,D,92
12/29/99,CGNX,38.31,313,1,2,2,1,D,83
1/18/00,CGNX,42.72,311,1,1,1,1,D,100
7/19/02,CGNX,16.23,417,1,2,2,4,R,83
7/22/02,CGNX,15.63,417,1,2,1,4,R,92
7/23/02,CGNX,14.97,417,1,2,1,4,R,92
8/1/13,CGNX,55.74,311,1,1,1,1,D,100
8/2/13,CGNX,55.19,313,1,2,1,1,D,92
9/10/13,CGNX,64.43,311,1,1,2,1,D,92
11/9/04,CNC,51.8,311,1,1,1,1,D,100
11/12/04,CNC,52.96,313,1,1,2,1,D,92
7/24/13,CNC,58.77,313,1,2,2,1,D,83
3/18/15,CNC,69.48,313,1,1,3,1,D,83
3/19/15,CNC,70.59,313,1,1,2,1,D,92
5/18/15,CRTO,49.91,313,1,3,1,1,D,83
6/7/13,EPAM,25.55,313,1,2,2,1,D,83
8/9/13,EPAM,31.52,311,1,2,2,1,D,83
10/11/13,EPAM,38.15,313,1,2,2,1,D,83
10/14/13,EPAM,39,313,1,2,1,1,D,92
12/10/04,EW,41.75,311,1,1,3,1,D,83
12/14/10,EW,78.15,313,1,1,3,1,D,83
12/15/10,EW,81.26,313,1,1,1,1,D,100
12/16/10,EW,81.48,313,1,1,1,1,D,100
12/17/10,EW,84.75,313,1,1,1,1,D,100
12/20/10,EW,84.28,313,1,1,3,1,D,83
8/2/13,FLT,98.44,311,1,3,1,1,D,83
8/5/13,FLT,98.78,313,1,3,1,1,D,83
8/18/00,HAR,73.88,311,1,1,1,1,D,100
8/21/00,HAR,74.75,313,1,1,1,1,D,100
8/24/00,HAR,78,313,1,1,3,1,D,83
9/11/00,HAR,81.38,311,1,1,3,1,D,83
9/12/00,HAR,82.31,313,1,1,2,1,D,92
4/30/02,HAR,59.05,313,1,3,1,1,D,83
10/29/04,HAR,120.18,311,1,2,1,1,D,92
10/7/08,HAR,23.6,417,1,1,3,4,R,83
10/8/08,HAR,23.49,417,1,1,3,4,R,83
2/24/14,HZNP,12.15,311,1,2,1,1,D,92
3/19/14,HZNP,16.02,311,1,2,1,1,D,92
3/20/14,HZNP,16.81,313,1,1,1,1,D,100
3/21/14,HZNP,17.35,313,1,1,1,1,D,100
1/12/09,IPGP,10.49,415,1,3,1,4,R,83
1/13/09,IPGP,9.38,417,1,2,1,4,R,92
1/14/09,IPGP,8.94,417,1,2,1,4,R,92
8/6/12,IPGP,60.55,311,1,1,2,1,D,92
8/7/12,IPGP,62.62,313,1,1,2,1,D,92
11/25/13,IPGP,75.1,313,1,1,3,1,D,83
1/9/12,JAZZ,48.2,311,1,2,1,1,D,92
1/10/12,JAZZ,48.52,313,1,2,1,1,D,92
9/20/07,LCI,3.65,415,1,1,2,4,R,92
8/8/11,LCI,3.5,415,1,1,2,4,R,92
8/9/11,LCI,3.81,417,1,1,2,4,R,92
1/4/13,LCI,5.53,313,1,2,1,1,D,92
1/7/13,LCI,5.55,313,1,2,1,1,D,92
1/10/13,LCI,5.88,313,1,1,1,1,D,100
2/27/13,LCI,8.35,311,1,1,3,1,D,83
2/28/13,LCI,8.26,313,1,1,3,1,D,83
3/4/13,LCI,8.84,313,1,1,2,1,D,92
3/5/13,LCI,9.51,313,1,1,1,1,D,100
3/6/13,LCI,9.6,313,1,1,1,1,D,100
8/2/13,LNKD,235.58,311,1,1,1,1,D,100
8/5/13,LNKD,233.64,313,1,2,2,1,D,83
3/6/00,MANH,22.38,313,1,1,1,1,D,100
3/7/00,MANH,23.5,313,1,1,1,1,D,100
3/29/00,MANH,31.88,311,1,1,3,1,D,83
5/15/95,MEI,20,313,1,2,2,1,D,83
6/25/99,MEI,22.5,313,1,2,2,1,D,83
1/8/10,MEI,11.32,311,1,1,2,1,D,92
1/11/10,MEI,12.36,313,1,1,1,1,D,100
1/12/10,MEI,12.24,313,1,1,3,1,D,83
8/8/11,MEI,8.88,415,1,2,1,4,R,92
3/1/13,MEI,13.41,311,1,1,2,1,D,92
7/3/13,MEI,17.89,313,1,2,2,1,D,83
9/3/13,MEI,24.78,311,1,1,1,1,D,100
9/4/13,MEI,25.83,313,1,1,1,1,D,100
9/5/13,MEI,26.15,313,1,1,1,1,D,100
12/9/13,MEI,37.27,311,1,1,3,1,D,83
5/8/96,MNST,2,311,1,1,1,1,D,100
5/9/96,MNST,2.56,313,1,1,1,1,D,100
3/5/04,MNST,13.93,311,1,1,1,1,D,100
11/10/05,MNST,67.39,311,1,1,3,1,D,83
5/9/06,MNST,176.24,311,1,1,1,1,D,100
5/10/06,MNST,201.06,313,1,1,1,1,D,100
6/28/11,MNST,80.24,313,1,1,2,1,D,92
1/13/05,MOH,52.96,313,1,2,1,1,D,92
1/14/05,MOH,51.92,313,1,3,1,1,D,83
5/2/08,MTSI,9.98,417,1,2,2,4,R,83
12/4/14,MTSI,27.14,313,1,2,2,1,D,83
12/5/14,MTSI,28.66,313,1,1,1,1,D,100
12/8/14,MTSI,28.89,313,1,1,1,1,D,100
5/21/13,NOAH,13,311,1,1,3,1,D,83
12/5/14,NOAH,23.84,311,1,1,1,1,D,100
12/8/14,NOAH,22.69,313,1,1,1,1,D,100
4/8/15,NOAH,28.03,311,1,2,2,1,D,83
4/9/15,NOAH,29.43,313,1,1,2,1,D,92
4/10/15,NOAH,29.5,313,1,1,1,1,D,100
4/23/15,NOAH,33.16,311,1,1,3,1,D,83
4/24/15,NOAH,33.79,313,1,1,1,1,D,100
12/12/00,ORLY,22.06,311,1,1,2,1,D,92
12/13/00,ORLY,22.06,313,1,1,1,1,D,100
12/27/00,ORLY,24.5,313,1,1,2,1,D,92
12/29/00,ORLY,26.75,313,1,1,1,1,D,100
6/12/03,ORLY,34.59,311,1,2,2,1,D,83
7/9/03,ORLY,37,313,1,2,2,1,D,83
2/6/14,ORLY,146.72,311,1,1,2,1,D,92
2/7/14,ORLY,149.2,313,1,1,1,1,D,100
2/14/14,ORLY,154.81,311,1,1,3,1,D,83
10/30/07,PAY,49.56,311,1,1,1,1,D,100
11/20/08,PAY,3.54,417,1,1,3,4,R,83
3/8/10,PAY,22.21,313,1,3,1,1,D,83
9/3/10,PAY,26.56,311,1,3,1,1,D,83
9/20/10,PAY,29.5,313,1,1,1,1,D,100
10/26/10,PAY,32.69,313,1,3,1,1,D,83
1/25/01,PNK,11.75,417,1,1,3,4,R,83
6/28/01,PNK,7.4,415,1,3,1,4,R,83
1/4/08,PNK,20.41,415,1,1,3,4,R,83
1/8/08,PNK,19.25,417,1,1,2,4,R,92
1/9/08,PNK,18.99,417,1,1,3,4,R,83
7/2/08,PNK,9.63,417,1,2,2,4,R,83
7/3/08,PNK,9.41,417,1,2,2,4,R,83
7/7/08,PNK,9.03,417,1,2,1,4,R,92
4/27/10,PNK,13.26,313,1,1,3,1,D,83
4/28/10,PNK,13.65,313,1,1,2,1,D,92
4/29/10,PNK,14.4,313,1,1,1,1,D,100
6/8/95,SCI,31.25,311,1,1,3,1,D,83
7/13/95,SCI,33.38,311,1,1,3,1,D,83
7/14/95,SCI,33.13,313,1,1,2,1,D,92
9/19/06,SCI,8.93,311,1,1,1,1,D,100
9/20/06,SCI,9.12,313,1,1,1,1,D,100
12/11/06,SCI,10.45,313,1,2,1,1,D,92
2/13/15,SCI,24.76,311,1,2,2,1,D,83
5/31/07,SNCR,27.05,311,1,2,2,1,D,83
6/1/07,SNCR,27.84,313,1,2,1,1,D,92
1/8/10,SNCR,18.14,311,1,1,1,1,D,100
11/2/10,SNCR,22.39,311,1,1,1,1,D,100
11/3/10,SNCR,26.24,313,1,1,1,1,D,100
11/4/10,SNCR,27.89,313,1,1,1,1,D,100
10/10/08,SPR,11.56,417,1,1,3,4,R,83
7/7/95,SWKS,18.38,311,1,2,1,1,D,92
7/11/97,SWKS,11.5,311,1,1,3,1,D,83
9/30/97,SWKS,18.5,311,1,3,1,1,D,83
10/1/97,SWKS,19.13,313,1,3,1,1,D,83
11/16/98,SWKS,21.75,311,1,1,1,1,D,100
12/7/98,SWKS,26.13,311,1,1,2,1,D,92
5/30/08,SWKS,10.33,313,1,1,2,1,D,92
6/5/08,SWKS,10.97,311,1,1,3,1,D,83
1/22/14,SWKS,31.59,311,1,2,1,1,D,92
12/1/94,THRM,11.5,313,1,1,3,1,D,83
12/2/94,THRM,11.5,313,1,1,3,1,D,83
12/8/94,THRM,12.38,313,1,1,3,1,D,83
12/9/94,THRM,12,313,1,1,3,1,D,83
12/20/94,THRM,12.5,313,1,1,3,1,D,83
12/29/98,THRM,0.13,417,1,2,2,4,R,83
10/18/01,THRM,0.7,415,1,2,2,4,R,83
9/16/02,THRM,1,415,1,2,1,4,R,92
9/17/02,THRM,0.99,417,1,2,2,4,R,83
4/22/03,THRM,2.95,311,1,3,1,1,D,83
4/23/03,THRM,3,313,1,2,1,1,D,92
5/4/07,THRM,15.24,311,1,1,3,1,D,83
5/7/07,THRM,15.66,313,1,1,2,1,D,92
5/8/07,THRM,15.9,313,1,1,2,1,D,92
11/4/13,THRM,24.25,311,1,1,2,1,D,92
11/5/13,THRM,24.72,313,1,1,2,1,D,92
1/22/14,THRM,27.98,311,1,3,1,1,D,83
4/2/14,THRM,36.36,311,1,1,2,1,D,92
5/4/09,TSM,11.84,313,1,2,1,1,D,92
3/15/11,ULTA,47.19,313,1,2,2,1,D,83
6/5/03,UTHR,21.7,313,1,1,3,1,D,83
6/17/03,UTHR,23.24,313,1,1,2,1,D,92
11/19/08,UTHR,51.57,415,1,1,3,4,R,83
11/20/08,UTHR,49.01,417,1,1,1,4,R,100
10/3/13,UTHR,84.67,313,1,2,2,1,D,83
10/4/13,UTHR,85.48,313,1,2,1,1,D,92
2/17/15,UTHR,155.14,311,1,3,1,1,D,83
9/29/06,UVE,2.46,311,1,1,1,1,D,100
10/2/06,UVE,2.43,313,1,1,1,1,D,100
10/8/08,UVE,2.3,417,1,2,2,4,R,83
10/9/08,UVE,2.1,417,1,1,3,4,R,83
10/10/08,UVE,1.75,417,1,1,3,4,R,83
4/26/13,UVE,5.7,311,1,1,1,1,D,100
4/29/13,UVE,5.87,313,1,1,1,1,D,100
4/30/13,UVE,5.98,313,1,1,1,1,D,100
5/7/13,UVE,6.78,311,1,1,2,1,D,92
5/8/13,UVE,7.07,313,1,1,1,1,D,100
5/9/13,UVE,7.29,313,1,1,1,1,D,100
5/10/13,UVE,7.4,313,1,1,2,1,D,92
12/26/13,UVE,14.55,311,1,1,2,1,D,92
12/27/13,UVE,14.63,313,1,1,1,1,D,100
12/21/95,VRX,67.63,313,1,1,3,1,D,83
12/22/95,VRX,68.25,313,1,1,3,1,D,83
1/3/96,VRX,87,313,1,1,2,1,D,92
12/9/97,VRX,37.06,311,1,2,2,1,D,83
2/27/98,VRX,43.56,311,1,2,1,1,D,92
3/2/98,VRX,44.44,313,1,2,1,1,D,92
2/17/00,VRX,69.56,311,1,1,3,1,D,83
4/29/02,VRX,36.8,415,1,2,1,4,R,92
4/30/02,VRX,37.77,417,1,2,2,4,R,83
12/3/03,VRX,16.76,415,1,1,3,4,R,83
12/4/03,VRX,17.06,417,1,1,3,4,R,83
7/16/10,VRX,20.49,311,1,1,3,1,D,83
7/19/10,VRX,21.16,313,1,1,3,1,D,83
9/5/12,VRX,59.3,311,1,1,3,1,D,83
1/9/14,VRX,132.17,311,1,1,3,1,D,83
1/10/14,VRX,133.5,313,1,1,3,1,D,83
3/6/08,WAL,10.38,415,1,2,2,4,R,83
