TYPE,DATE,STOCK,PRICE,AMT,# OF SHARES,$ SPENT/MADE,CASH AFTER,,,
SUB,8/20/96,ACT,26,0.5,1923.076923,50000,x,-50000,,SUB
ADD,10/6/97,ACT,65.13,0.5,1923.076923,125250,x,125250,,
SUB,5/3/04,ACT,35.42,0.5,1411.631846,50000,x,-50000,,
ADD,5/2/11,ACT,63.36,1,1411.631846,89440.99379,x,89440.99379,,
SUB,6/20/02,AKAM,1.09,1,91743.11927,100000,x,-100000,,
SUB,12/8/94,ALK,13.75,2,14545.45455,200000,x,-200000,,
ADD,3/14/96,ALK,25.5,2,14545.45455,370909.0909,x,370909.0909,,
SUB,10/9/02,ALK,14.11,0.5,3543.586109,50000,x,-50000,,
ADD,10/9/03,ALK,31.6,0.5,3543.586109,111977.321,x,111977.321,,
SUB,4/30/07,ALK,29.6,1,3378.378378,100000,x,-100000,,
ADD,1/7/11,ALK,62.72,0.5,1689.189189,105945.9459,x,105945.9459,,
ADD,1/10/11,ALK,62.95,0.5,1689.189189,106334.4595,x,106334.4595,,
SUB,10/6/98,AOS,17.88,0.5,2796.420582,50000,x,-50000,,
ADD,2/3/12,AOS,45.08,0.5,4194.630872,189093.9597,x,189093.9597,,
SUB,7/19/02,CGNX,16.23,0.5,3080.714726,50000,x,-50000,,
SUB,7/22/02,CGNX,15.63,1,3198.976328,50000,x,-50000,,
ADD,8/1/13,CGNX,55.74,2,6397.952655,356621.881,x,356621.881,,
SUB,10/7/08,HAR,23.6,0.5,2118.644068,50000,x,-50000,,
SUB,1/12/09,IPGP,10.49,0.5,4766.444233,50000,x,-50000,,
SUB,1/13/09,IPGP,9.38,1,5330.490405,50000,x,-50000,,
ADD,8/6/12,IPGP,60.55,1,10660.98081,645522.3881,x,645522.3881,,
SUB,9/20/07,LCI,3.65,1,27397.26027,100000,x,-100000,,
ADD,1/4/13,LCI,5.53,1,27397.26027,151506.8493,x,151506.8493,,
SUB,8/8/11,MEI,8.88,1,11261.26126,100000,x,-100000,,
ADD,3/1/13,MEI,13.41,1,11261.26126,151013.5135,x,151013.5135,,
SUB,5/2/08,MTSI,9.98,0.5,5010.02004,50000,x,-50000,,
ADD,12/4/14,MTSI,27.14,0.5,5010.02004,135971.9439,x,135971.9439,,
SUB,11/20/08,PAY,3.54,0.5,14124.29379,50000,x,-50000,,
ADD,3/8/10,PAY,22.21,0.5,14124.29379,313700.565,x,313700.565,,
SUB,1/25/01,PNK,11.75,0.5,4255.319149,50000,x,-50000,,
SUB,1/8/08,PNK,19.25,1,2597.402597,50000,x,-50000,,
ADD,4/27/10,PNK,13.26,0.5,2597.402597,34441.55844,x,34441.55844,,
ADD,4/28/10,PNK,13.65,1,2597.402597,35454.54545,x,35454.54545,,
SUB,10/10/08,SPR,11.56,0.5,4325.259516,50000,x,-50000,,
SUB,12/29/98,THRM,0.13,0.5,384615.3846,50000,x,-50000,,
SUB,9/16/02,THRM,1,1,50000,50000,x,-50000,,
ADD,4/22/03,THRM,2.95,0.5,50000,147500,x,147500,,
ADD,4/23/03,THRM,3,1,50000,150000,x,150000,,
SUB,11/19/08,UTHR,51.57,0.5,969.5559434,50000,x,-50000,,
SUB,11/20/08,UTHR,49.01,2,3060.599878,150000,x,-150000,,
ADD,10/3/13,UTHR,84.67,0.5,2040.399918,172760.6611,x,172760.6611,,
ADD,10/4/13,UTHR,85.48,1,2040.399918,174413.385,x,174413.385,,
SUB,10/8/08,UVE,2.3,0.5,21739.13043,50000,x,-50000,,
ADD,4/26/13,UVE,5.7,2,21739.13043,123913.0435,x,123913.0435,,
SUB,4/29/02,VRX,36.8,1,2717.391304,100000,x,-100000,,
ADD,7/16/10,VRX,20.49,0.5,1358.695652,27839.67391,x,27839.67391,,
ADD,7/19/10,VRX,21.16,0.5,1358.695652,28750,x,28750,,
SUB,3/6/08,WAL,10.38,0.5,4816.955684,50000,x,-50000,,
,,,,,,,,,,
,,,,,,,,1948361.779,,
